2025-04-29 14:23:34,239 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.379, 0.312, 1780.330)
2025-04-29 14:23:34,247 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:37,154 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:37,169 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 1, 11)
2025-04-29 14:23:37,170 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(1), np.int64(11)) with prob = 1.0
2025-04-29 14:23:37,174 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.1197012976851109e-08
2025-04-29 14:23:37,180 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.598, -0.908, 2210.330)
2025-04-29 14:23:37,186 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 50.000)
2025-04-29 14:23:37,187 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.074, 0.007, 2160.330)
2025-04-29 14:23:37,189 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:39,278 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:39,293 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2025-04-29 14:23:39,295 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(10), np.int64(2), np.int64(13)) with prob = 0.1033989
2025-04-29 14:23:39,296 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.146, 0.089, 2149.461)
2025-04-29 14:23:39,298 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:42,240 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:42,247 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2025-04-29 14:23:42,248 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(2), np.int64(12)) with prob = 1.0
2025-04-29 14:23:42,249 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.09334917600085078
2025-04-29 14:23:42,249 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.670, -0.521, 2599.461)
2025-04-29 14:23:42,250 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.610, 70.000)
2025-04-29 14:23:42,251 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.146, 0.089, 2529.461)
2025-04-29 14:23:42,253 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:44,327 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:44,343 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 3, 13)
2025-04-29 14:23:44,345 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(9), np.int64(0), np.int64(11)) with prob = 0.1642890
2025-04-29 14:23:44,345 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.516, 1.052, 2555.097)
2025-04-29 14:23:44,346 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:47,273 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:47,276 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 3, 13)
2025-04-29 14:23:47,279 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(3), np.int64(13)) with prob = 1.0
2025-04-29 14:23:47,280 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.0264867755737737e-36
2025-04-29 14:23:47,281 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.736, -0.167, 2965.097)
2025-04-29 14:23:47,281 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, -0.305, 90.000)
