2025-04-15 12:03:43,449 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-15 12:03:44,229 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-15 12:03:45,742 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-15 12:03:46,198 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-15 12:03:46,771 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-15 12:03:47,660 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-15 12:03:49,074 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:04:49,025 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-15 12:04:49,859 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-15 12:05:32,240 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-15 12:05:33,004 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-15 12:06:51,181 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:06:52,265 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-15 12:06:53,312 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-15 12:06:55,521 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-15 12:06:57,938 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-15 12:07:05,996 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:07:06,023 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:07:06,072 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:07:06,193 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:07:06,411 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-15 12:07:06,648 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:09:40,654 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-15 12:09:40,655 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-15 12:09:43,940 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:10:16,810 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:10:39,445 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:11:00,738 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:11:14,005 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:11:25,195 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:11:43,371 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:11:54,750 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:12:25,145 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:12:34,679 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:12:47,892 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:13:03,396 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:13:20,690 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:13:32,902 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:13:52,335 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-15 12:13:53,013 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-15 12:13:54,550 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-15 12:13:55,033 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-15 12:14:35,400 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-15 12:14:38,171 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-15 12:15:34,450 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-15 12:15:34,451 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-15 14:55:45,239 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-15 14:55:45,240 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:14:16,099 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:14:16,100 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:16:36,357 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:17:06,768 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:17:06,769 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:18:15,432 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:19:12,751 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:20:30,082 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:21:15,024 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:23:49,783 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:23:50,248 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-21 22:23:51,271 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-21 22:23:51,690 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-21 22:23:52,700 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-21 22:23:53,022 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-21 22:23:53,797 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
