2025-04-13 18:10:32,426 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:10:38,557 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:12:11,717 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:13:16,306 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:13:19,511 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:13:36,342 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:15:51,518 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:15:54,612 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:16:27,668 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:19:00,754 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:19:04,006 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:19:17,450 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:20:36,849 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:20:39,916 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:21:51,206 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:22:24,453 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:22:27,648 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:22:45,228 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:27:06,939 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:27:09,955 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:27:34,582 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:28:53,755 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:28:56,754 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:29:21,166 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:31:22,849 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:31:25,827 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:31:35,429 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:32:42,579 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-13 18:32:45,776 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-13 18:32:55,755 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-13 18:33:04,877 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
