tof,yaw,times,motor,orient_targ,times
701,0,284024,110,0,283162
771,9,284185,110,0,283164
1823,25,284488,110,0,283175
1879,29,284615,110,0,283186
2011,44,284946,110,0,283198
2003,49,285090,110,0,283208
2051,69,285371,110,0,283219
2045,70,285489,110,0,283236
1076,84,285784,110,0,283246
1048,92,285933,110,0,283257
2667,105,286208,110,0,283274
2857,111,286335,110,0,283279
3114,124,286631,110,0,283284
2779,129,286801,110,0,283292
2324,144,287082,110,0,283304
2425,152,287239,110,0,283314
3018,163,287508,110,0,283325
2930,170,287677,110,0,283342
1992,-176,287927,110,0,283352
2117,-169,288089,110,0,283363
885,-154,288367,110,0,283375
904,-154,288491,110,0,283385
758,-131,288821,110,0,283396
736,-129,288949,110,0,283413
766,-109,289240,110,0,283423
759,-106,289358,110,0,283434
853,-91,289630,110,0,283452
859,-90,289753,110,0,283456
699,-79,290034,110,0,283462
590,-63,290295,110,0,283467
588,-62,290419,110,0,283477
518,-45,290749,110,0,283486
507,-40,290867,110,0,283497
524,-26,291135,110,0,283509
533,-20,291305,110,0,283519
569,-8,291546,110,0,283530
645,0,291739,110,0,283547
870,13,292037,110,0,283557
1020,18,292211,110,0,283568
1993,33,292512,110,0,283585
2016,40,292672,110,0,283590
1999,53,292926,110,0,283606
2015,60,293096,-140,0,283617
1066,77,293357,-140,0,283622
1055,78,293484,-140,0,283623
1217,95,293811,-140,0,283624
1814,99,293929,-140,0,283625
3048,114,294230,-140,0,283627
2975,118,294369,-140,0,283633
2007,131,294656,-140,0,283634
1829,137,294826,-140,0,283635
2646,151,295113,-140,0,283636
2650,163,295333,-140,0,283637
2793,176,295574,-140,0,283643
2748,176,295692,-140,0,283644
1122,-168,295992,-140,0,283645
908,-161,296162,-140,0,283647
837,-146,296388,-110,0,283654
732,-138,296624,-110,0,283663
726,-132,296763,-110,0,283673
732,-113,297054,-110,0,283685
725,-113,297172,-110,0,283695
842,-98,297505,-110,0,283706
897,-87,297726,-110,0,283717
763,-77,297953,-110,0,283734
690,-71,298113,-110,0,283744
595,-59,298387,-110,0,283756
567,-53,298557,-110,0,283766
556,-30,298848,-110,0,283777
560,-29,298970,-110,0,283794
610,-15,299267,-110,0,283804
604,-11,299389,-110,0,283815
889,8,299696,-110,0,283833
